,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
62,282.2749,49700000000.0,87Rb,1.0,81.7,1.56841272e+18,0.0,0.0,24.629270770048993
128,2.4667,41600000000.0,187Re,1.0,0.66,1.31279616e+18,0.0,0.0,24.45136600421363
140,-1074.8477,50.0,193Pt,0.0,7.06,1577880000.0,0.0007752292854296174,0.0,3.912023005428146
152,-641.6252,1600.0,226Ra,0.0,4601,50492160000.0,0.013482670954448734,0.0,7.3777589082278725
210,936.2686,180.0,158Tb,0.166,193.3,5680368000.0,0.007202032695523624,2.758221621440918e-83,5.19295685089021
221,-767.4346,432.6,241Am,0.0,5321.9,13651817760.0,0.05408989562475451,0.0,6.069813513518959
329,-2059.1203,10.5379,133Ba,0.0,3.67,332550833.04,0.0027746815098520974,0.0,2.354978282275377
358,63.4758,22.2,210Pb,1.0,4.16,700578720.0,0.0009455267863812786,3.9391389080915965e-10,3.100092288878234
362,1052.4585,103000000000.0,138La,0.345,96,3.2504328e+18,0.0,0.0,25.357994825176046
472,-2239.4954,229000.0,81Kr,0.0,10.6,7226690400000.0,6.055864120096969e-07,0.0,12.341477282536376
475,-146.8652,4463000000.0,238U,0.0,4038,1.408415688e+17,0.0,0.0,22.219087022593545
687,-1384.7902,6561.0,240Pu,0.0,5021.23,207049413600.0,0.0033789777874719236,0.0,8.788898309344878
689,-13740.5071,59.1,44Ti,0.0,0.37,1865054160.0,0.00015076981773877468,0.0,4.079230924412053
699,-619.8711,1380.0,247Bk,0.0,5456,43549488000.0,0.016960941773967033,0.0,7.22983877815125
816,156.4765,5700.0,14C,1.0,49.47,179878320000.0,0.0006568973490387716,1.8620444195088201e-09,8.648221453822641
877,20.7799,14.329,241Pu,1.0,5.23,452188850.40000004,0.0016048024268775453,1.3618148169607794e-09,2.662285455734466
926,-6.9302,7350.0,243Am,0.0,5181,231948360000.0,0.003073799292858608,0.0,8.902455592206882
940,297.5156,211100.0,99Tc,1.0,1.6286,6661809360000.0,8.255822743989921e-08,4.64559600537669e-25,12.260087233836412
1081,1194.0947,37010000000.0,176Lu,1.0,52.8,1.167946776e+18,0.0,0.0,24.334453983344474
1094,-2261.9902,18.11,244Cm,0.0,5664,571508136.0,1.3582126608000749,0.0,2.896464271895322
1109,476.5854,153000.0,236Np,0.135,46,4828312800000.0,1.3498511682590422e-06,3.5852578590171085e-107,11.938193200374572
1229,545.9674,28.91,90Sr,1.0,195.8,912330216.0,0.07973975166904156,0.03379058407006557,3.364187556028255
1273,-381.6138,32650.0,231Pa,0.0,4599,1030355640000.0,0.0006460913331450893,0.0,10.393600134704577
1282,1818.8037,13.517,152Eu,0.2792,28.4,426564079.2,0.014646951106069265,3.283151699475651e-61,2.6039481525016908
1293,565.0,268.0,39Ar,1.0,218.8,8457436800.0,0.02218199677930786,0.0024210432709880067,5.5909869805108565
1339,-5732.4723,71.3,148Gd,0.0,3182.68,2250056880.0,0.31959094183591225,0.0,4.26689632742025
1362,-1222.1,60000.0,137La,0.0,3.67,1893456000000.0,4.730488351371977e-07,0.0,11.002099841204238
1491,-1339.1791,71.0,157Tb,0.0,4.261,2240589600.0,0.0004050478990669142,0.0,4.2626798770413155
1492,-3482.2417,124.0,209Po,0.0,4622,3913142400.0,0.18897947896373202,0.0,4.820281565605037
1502,-616.099,17.7,145Pm,0.0,4.23,558569520.0,0.0017464328583375768,0.0,2.8735646395797834
1503,-2908.8541,31.22,207Bi,0.0,383.1,985228272.0,0.06281475948010798,0.0,3.441058915087286
