,Parent Isotope,Mean Power Density Over 100 years (watts per gram)
1020,218Pb,25046891.068274442
1695,215Tl,22880885.456685696
1465,216Tl,22556698.889607877
1043,219Bi,19760106.75939368
2012,214Hg,19751582.09173015
1404,211Hg,19340808.729819708
2413,214Tl,18931922.39942939
2649,213Hg,18510494.198533174
2278,220Po,18024256.553661935
2020,220Bi,17650319.078184
200,219Rn,17402907.72096014
2500,223Po,17294752.302645914
25,218Bi,17219344.201095805
3012,213Tl,15179766.637987416
524,232Fr,14386670.439896991
2612,212Hg,13857176.60748342
2523,212Tl,13838073.321039284
1733,19Ne,12984383.262448402
1362,219Pb,12139028.622828158
2077,240Pa,11694754.016075552
695,230Fr,11257761.214837601
868,222Bi,11033124.931299854
1745,237Ac,10394737.07578202
1651,211Tl,10169370.461652683
626,230Rn,9843816.73287619
686,210Au,9776489.850532351
2142,228Fr,8704779.423033785
3185,209Hg,8479285.975432942
897,219At,8457556.87530912
2846,220Rn,7976252.782622637
2790,147La,7881238.542308736
1988,225Po,7779353.760852653
32,223At,7772505.839361261
857,227At,7739127.08582603
1370,226Fr,7540095.719382092
2396,217Pb,7538790.083008411
1642,222At,7533012.937213588
1039,254Bk,7389564.338582985
437,211Bi,7334235.784891278
2608,226Po,6557590.732584154
661,228At,6553953.716361553
315,216Hg,6490139.739130443
1300,216Pb,6442495.7755066175
1739,228Rn,6278963.005138097
1546,220Fr,6218428.767303387
2968,229Rn,6188854.021045494
2559,227Rn,5949983.096713988
2213,235Ra,5811551.725573232
2625,218Po,5514077.849538747
738,222Ra,5489065.21509483
1559,231Fr,5369756.919181844
388,242Np,5311194.967544271
1947,216Bi,5247189.4754677415
2660,225At,5236277.54762548
2560,215Pb,5195911.966004508
298,234Ra,4397076.442419684
1751,15O,4259860.357020256
2237,233Ra,4049485.1458530864
2183,210Hg,3942166.692248904
2090,147Ce,3887516.49660995
1337,80Rb,3776604.7491831123
779,230Ac,3756887.924943152
696,252Cm,3747492.7408985756
1429,232Ac,3672904.0030090576
2261,224At,3668034.129002145
561,234Ac,3573726.066740411
2817,28Al,3547987.6680152854
1049,210Tl,3483219.688638327
1845,238Pa,3308169.089792032
2401,39S,3190513.2340843454
